World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Broad Impact	Patents	Score
1	Harvard University	USA	1	1	1	1	1	1	1	1	3	100.00
2	Stanford University	USA	2	9	2	2	5	3	3	3	7	98.25
3	Massachusetts Institute of Technology	USA	3	2	12	3	15	2	2	2	1	97.12
4	University of Cambridge	United Kingdom	1	3	10	6	12	8	14	12	45	96.13
5	University of Oxford	United Kingdom	2	7	13	10	6	11	6	9	19	95.39
6	Columbia University	USA	4	13	6	9	14	12	15	14	2	94.12
7	University of California, Berkeley	USA	5	6	21	5	11	4	8	6	21	91.35
8	University of Chicago	USA	6	11	14	8	17	16	11	17	83	90.72
9	Princeton University	USA	7	4	15	4	82	25	26	37	109	88.72
10	Yale University	USA	8	8	26	11	18	6	31	18	41	85.83
11	California Institute of Technology	USA	9	5	338	7	67	13	20	25	9	83.74
12	Cornell University	USA	10	12	19	19	24	15	27	23	13	81.74
13	University of Tokyo	Japan	1	14	3	31	13	20	31	31	8	79.51
14	University of Pennsylvania	USA	11	22	4	26	8	18	12	11	11	77.60
15	University of California, Los Angeles	USA	12	35	28	13	7	14	10	8	6	75.23
16	Johns Hopkins University	USA	13	18	89	16	4	10	4	4	4	70.44
17	University of California, San Diego	USA	14	27	594+	18	16	5	16	16	16	67.59
18	University of California, San Francisco	USA	15	378+	594+	14	23	7	18	10	55	66.97
19	University of Michigan	USA	16	25	20	139	3	19	5	12	12	66.60
20	Kyoto University	Japan	2	23	17	27	33	43	84	65	15	66.53
21	Northwestern University	USA	17	176	11	75	28	36	31	26	40	66.14
22	New York University	USA	18	38	24	20	47	30	27	32	43	66.11
23	Swiss Federal Institute of Technology in Zurich	Switzerland	1	17	61	17	46	27	41	72	51	64.98
24	Seoul National University	South Korea	1	378+	9	235+	27	148	184	106	9	64.92
25	University of Wisconsin–Madison	USA	19	29	29	32	22	24	23	27	14	64.04
26	Hebrew University of Jerusalem	Israel	1	16	196	15	127	103	324	149	28	63.52
27	University of Washington	USA	20	41	112	23	10	9	8	5	25	63.38
28	Rockefeller University	USA	21	32	594+	12	395	28	136	81	240	61.64
29	Duke University	USA	22	80	33	46	21	23	13	15	24	61.32
30	University of Toronto	Canada	1	47	70	24	2	17	7	6	230	60.79
31	University College London	United Kingdom	3	21	442	33	9	22	21	20	85	60.54
32	University of Texas at Austin	USA	23	66	31	28	51	53	29	68	37	60.17
33	Keio University	Japan	3	300	5	235+	312	249	380	280	70	60.08
34	University of Illinois at Urbana–Champaign	USA	24	24	76	22	44	45	39	79	51	59.83
35	Imperial College London	United Kingdom	4	99	72	37	19	26	19	20	29	59.40
36	École Polytechnique	France	1	101	7	184	339	301	200	296	207	59.09
37	Waseda University	Japan	4	302	8	235+	422	428	436	371	196	57.97
38	University of North Carolina at Chapel Hill	USA	25	134	74	61	32	29	17	22	30	57.40
39	École normale supérieure - Paris	France	2	10	529	69	386	160	818+	300	912+	57.30
40	University of Virginia	USA	26	220	18	129	105	82	78	103	63	56.86
41	Weizmann Institute of Science	Israel	2	20	594+	21	256	67	240	144	34	56.57
42	McGill University	Canada	2	34	38	54	37	55	39	35	103	56.45
43	Rutgers University	USA	27	112	42	29	68	59	57	60	68	56.08
44	University of Southern California	USA	28	164	62	35	63	60	84	56	22	55.89
45	University of Minnesota	USA	29	62	130	64	20	34	29	27	58	55.85
46	Ohio State University	USA	30	82	101	57	30	49	31	33	39	55.72
47	University of Pittsburgh	USA	31	85	169	235+	25	58	22	24	38	55.60
48	Osaka University	Japan	5	46	37	78	59	62	160	98	18	55.52
49	University of California, Davis	USA	32	45	262	63	31	32	37	51	53	55.18
50	Dartmouth College	USA	33	48	16	235+	254	165	200	173	79	55.16
51	Washington University in St. Louis	USA	34	111	98	74	42	21	25	18	104	55.15
52	Pennsylvania State University	USA	35	272	60	67	38	39	41	42	68	54.48
53	National Taiwan University	Taiwan	1	69	22	235+	50	206	113	201	763	54.40
54	Pierre-and-Marie-Curie University	France	3	26	439	96	29	35	51	54	141	54.03
55	University of Edinburgh	United Kingdom	5	49	146	39	52	38	54	40	167	54.03
56	Purdue University	USA	36	72	41	48	77	94	84	118	30	54.03
57	University of British Columbia	Canada	3	78	312	95	26	37	38	33	73	53.89
58	University of California, Santa Barbara	USA	37	107	303	36	119	65	43	48	54	53.86
59	University of Florida	USA	38	219	244	98	41	75	75	56	5	53.85
60	Peking University	China	1	162	34	235+	48	106	126	115	46	53.75
61	University of Manchester	United Kingdom	6	110	93	76	45	70	23	45	144	53.74
62	Boston University	USA	39	319	57	89	70	46	35	39	92	53.49
63	National University of Singapore	Singapore	1	378+	86	235+	36	119	78	81	26	53.30
64	University of Paris-Sud	France	4	33	394	30	72	89	109	99	403	53.23
65	University of Colorado Boulder	USA	40	61	82	42	99	41	46	68	151	53.21
66	University of Utah	USA	41	102	104	70	98	64	75	87	20	53.06
67	Carnegie Mellon University	USA	42	28	140	25	216	219	101	155	122	53.04
68	University of Maryland, College Park	USA	43	54	189	50	60	44	35	59	203	52.99
69	University of Copenhagen	Denmark	1	132	153	68	34	31	43	30	303	52.92
70	Karolinska Institute	Sweden	1	108	594+	41	49	50	51	35	558	52.76
71	Vanderbilt University	USA	44	92	83	111	56	57	63	45	67	52.68
72	University of Rochester	USA	45	63	48	114	118	112	90	87	42	52.47
73	University of Arizona	USA	46	146	50	87	84	42	46	55	161	52.46
74	Tsinghua University	China	2	325	53	235+	53	133	64	121	44	52.36
75	University of Texas Southwestern Medical Center	USA	47	70	594+	40	140	33	57	40	159	52.32
76	Ludwig Maximilian University of Munich	Germany	1	40	125	71	61	54	57	47	182	52.27
77	Lomonosov Moscow State University	Russia	1	15	174	53	275	256	324	352	763	52.15
78	Katholieke Universiteit Leuven	Belgium	1	378+	190	235+	35	84	49	50	80	52.10
79	Emory University	USA	48	378+	143	126	71	61	71	37	60	52.09
80	University of Geneva	Switzerland	2	36	221	38	120	81	75	78	347	52.02
81	Tel Aviv University	Israel	3	68	90	49	102	109	160	149	36	51.94
82	Ruprecht Karl University of Heidelberg	Germany	2	43	398	59	65	63	64	42	222	51.85
83	Utrecht University	Netherlands	1	88	193	115	39	48	57	48	234	51.84
84	Tohoku University	Japan	6	51	142	191	81	144	126	127	23	51.78
85	University of Texas MD Anderson Cancer Center	USA	49	378+	594+	82	95	69	49	27	61	51.76
