Text Changed,Title & Definition,Cross References,CIP Code,Action,Moved To/Report Under,Moved From
"","Flight Instructor. A program that prepares individuals to apply technical knowledge and skills to the training of pilots or navigators, to prepare them to fly and/or navigate commercial passenger and cargo, agricultural, public service, corporate and rescue aircraft, and fixed or rotary wing aircraft.  Includes instruction in principles of aircraft design and performance, aircraft flight systems and controls, flight crew operations and procedures, radio communications and navigation procedures and systems, airways safety and traffic regulations, and governmental rules and regulations pertaining to piloting aircraft.  Programs may qualify individuals to administer the FAA commercial air crew examinations.","",="49.0108","No substantive changes","",""
"","Floriculture/Floristry Operations and Management. A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management.","",="01.0608","No substantive changes","",""
"","Folklore Studies. A program that focuses on the study of creativity and aesthetic expression in everyday life, as expressed in narrative, literature, performing arts, culture, work, family and community.","",="05.0209","New","",""
"","Food Preparation/Professional Cooking/Kitchen Assistant. A program that prepares individuals to serve under the supervision of chefs and other food service professionals as kitchen support staff and commercial food preparation workers.  Includes instruction in kitchen organization and operations, sanitation and quality control, basic food preparation and cooking skills, kitchen and kitchen equipment maintenance, and quantity food measurement and monitoring.","",="12.0505","No substantive changes","",""
"","Food Science and Technology, Other. Any instructional program in food sciences and technology not listed above.","",="01.1099","No substantive changes","",""
"","Food Science and Technology. Instructional content for this group of programs is defined in codes 01.1001 - 01.1099.","",="01.10","No substantive changes","",""
"","Food Science. A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology.","",="01.1001","No substantive changes","",""
"","Food Service, Waiter/Waitress, and Dining Room Management/Manager. A program that prepares individuals to serve food to customers in formal or informal settings.  Includes instruction in the nutritional, sensory, and functional properties of food and its ingredients; food services principles; table and counter services; dining room operations and procedures; service personnel supervision and management; communication skills; business math; safety; and sanitation.","",="12.0507","No substantive changes","",""
"","Food Technology and Processing. A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance.","",="01.1002","No substantive changes","",""
"","Foods, Nutrition, and Related Services, Other. Any instructional program in foods, nutrition, and related services not listed above.","",="19.0599","No substantive changes","",""
"","Foods, Nutrition, and Related Services. Instructional content for this group of programs is defined in codes 19.0501 - 19.0599.","",="19.05","No substantive changes","",""
"","Foods, Nutrition, and Wellness Studies, General. A general program that focuses on the role of foods and nutrition in human health and wellness.  Includes instruction in nutritional care and education, the planning and provision of food services, the development of consumable food products, life-span nutrition and wellness, the principles of nutritional assessment, and food safety and food composition.","",="19.0501","No substantive changes","",""
"","Foodservice Systems Administration/Management. A program that focuses on the principles and practices relating to the administration of food service systems in institutional settings, and that prepares individuals to manage such operations in public and private facilities.  Includes instruction in human nutrition, food safety, the design and organization of food service systems, purchasing, personnel management, and related business practices.","",="19.0505","No substantive changes","",""
"","Foreign Language Teacher  Education. A program that prepares individuals to teach foreign languages programs at various educational levels, other than French, German or Spanish.","",="13.1306","No substantive changes","",""
"","Foreign Languages and Literatures, General. A general program that focuses on one or more modern foreign languages that is not specific as to the name of the language(s) studied; that is otherwise undifferentiated; or that introduces students to language studies at the basic/elementary level.","",="16.0101","No substantive changes","",""
"","Foreign Languages, Literatures, and Linguistics, Other. Instructional content is defined in code 16.9999.","",="16.99","No substantive changes","",""
"","Foreign Languages, Literatures, and Linguistics, Other. Any instructional program in foreign languages, literatures, and linguistics not listed above.","",="16.9999","No substantive changes","",""
"","FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS. Instructional programs that focus on foreign languages and literatures, the humanistic and scientific study of linguistics, and the provision of professional interpretation and translation services.","",="16","No substantive changes","",""
"","Forensic Chemistry. A program that focuses on the application of chemical techniques and instrumentation to the analysis and evaluation of physical evidence to aid in criminal investigations. Includes instruction in analytical, inorganic, organic, and physical chemistry; biochemistry; forensic toxicology; instrumental analysis; crime scene processing; criminal investigation; forensic laboratory technology; and applicable law.","",="40.0510","New","",""
"","Forensic Pathology. A residency training program that prepares physicians in the performance of medical autopsies, the analysis of human remains and crime scenes, and the legal follow-up and responsibilities of public pathologists.  Requires prior completion of a program in pathology. This CIP code is not valid for IPEDS reporting.","",="60.0219","Moved from","",""
"","Forensic Pathology. A residency training program that prepares physicians in the performance of medical autopsies, the analysis of human remains and crime scenes, and the legal follow-up and responsibilities of public pathologists.  Requires prior completion of a program in pathology. This CIP code is not valid for IPEDS reporting.","",="60.0517","Moved to","",""
"","Forensic Psychiatry Residency Program. A residency training program that prepares physicians to evaluate individuals involved with the legal system and provide specialized treatment to those incarcerated in jails, prisons, and forensic psychiatry hospitals; and who focus on the interrelationships between psychiatry and civil, criminal, and administrative law. Requires prior completion of a program in psychiatry. This CIP code is not valid for IPEDS reporting.","",="60.0518","New","",""
"","Forensic Psychology. A program that prepares individuals to apply clinical, counseling, school, and neuropsychology skills to the provision of psychological services within the criminal justice and civil legal systems, including consultation, assessment, and interventions.  Includes instruction in the epidemiology of mental/behavioral disorders, risk factors for violence and criminality, profiling and patterning, psychological testing, prediction and intervention measurement, forensic assessment, criminal and civil law and procedures, secure environments, forensic treatment and intervention skills, and professional standards and ethics.","",="42.2601","Moved from","",""
"","Forensic Psychology.","",="42.26","Deleted","",""
"","Forensic Psychology. A program that prepares individuals to apply clinical, counseling, school, and neuropsychology skills to the provision of psychological services within the criminal justice and civil legal systems, including consultation, assessment, and interventions.  Includes instruction in the epidemiology of mental/behavioral disorders, risk factors for violence and criminality, profiling and patterning, psychological testing, prediction and intervention measurement, forensic assessment, criminal and civil law and procedures, secure environments, forensic treatment and intervention skills, and professional standards and ethics.","",="42.2812","Moved to","",""
"","Forensic Science and Technology. A program that focuses on the application of the physical, biomedical, and social sciences to the analysis and evaluation of physical evidence, human testimony and criminal suspects. Includes instruction in forensic medicine, forensic dentistry, anthropology, psychology, entomology, pathology, forensic laboratory technology and autopsy procedures, DNA and blood pattern analysis, crime scene analysis, crime scene photography, fingerprint technology, document analysis, witness and suspect examination procedures, applicable law and regulations, and professional standards and ethics.","",="43.0106","No substantive changes","",""
"","Forest Engineering. Instructional content is defined in code 14.3401.","",="14.34","No substantive changes","",""
"","Forest Engineering. A program that prepares individuals to apply scientific, mathematical, and forestry principles to the design of mechanical devices and processes for efficient forest management, timber production and related forest logistics systems.  Includes instruction in forest products processing, forest management, forest harvesting, timber structure design, production analysis, road and bridge construction, vehicle adaptation and design, and harvesting equipment design.","",="14.3401","No substantive changes","",""
"","Forest Management/Forest Resources Management. A program that prepares individuals to apply principles of forestry and natural resources management to the administration of forest lands and related resources.  Includes instruction in silviculture, forest mensuration, forest protection, inventorying, biometrics, geographic information systems, remote sensing, photogrammetry, forest policy and economics, forest land use planning, fire protection and management, and related administrative skills.","",="03.0506","No substantive changes","",""
"","Forest Resources Production and Management. A program that focuses on the application of forestry principles to the production, harvesting, and processing of forest resources and that prepares individuals to perform associated technical and managerial functions.  Includes instruction in forest production and utilization, industrial forestry, agroforestry, transplantation, timber harvesting, selection and identification of trees, processing technologies and systems, equipment operations and maintenance, and related management skills.","",="03.0510","No substantive changes","",""
"","Forest Sciences and Biology. A program that focuses on the application of one or more forest-related sciences to the study of environmental factors affecting forests and the growth and management of forest resources.  Includes instruction in forest biology, forest hydrology, forest mensuration, silviculture, forest soils, water resources, environmental science, forest resources management, and wood science.","",="03.0502","No substantive changes","",""
"","Forest Technology/Technician. A program that prepares individuals to assist foresters in the management and production of forest resources.  Includes instruction in woods and field skills, tree identification, timber measurement, logging and timber harvesting, forest propagation and regeneration, forest fire-fighting, resource management, equipment operation and maintenance, record-keeping, sales and purchasing operations, and personnel supervision.","",="03.0511","No substantive changes","",""
"","Forestry, General. A program that generally prepares individuals to manage and develop forest areas for economic, recreational, and ecological purposes.  Includes instruction in forest-related sciences, mapping, statistics, harvesting and production technology, natural resources management and economics, wildlife sciences, administration, and public relations.","",="03.0501","No substantive changes","",""
"","Forestry, Other. Any program in forestry not listed above.","",="03.0599","No substantive changes","",""
"","Forestry. Instructional content for this group of programs is defined in codes 03.0501 - 03.0599.","",="03.05","No substantive changes","",""
"","Franchising and Franchise Operations. A program that prepares individuals to manage and operate franchises.  Includes instruction in legal requirements, set-up costs and capitalization requirements, financing, and applications to specific franchise opportunities.","",="52.0702","No substantive changes","",""
"","French Language and Literature. A program that focuses on the French language and related dialects and creoles. Includes instruction in philology; Metropolitan French; Canadian French; African and Caribbean Creoles; dialects; and applications in business, science/technology, and other settings.","",="16.0901","No substantive changes","",""
"","French Language Teacher Education. A program that prepares individuals to teach French language programs at various educational levels.","",="13.1325","No substantive changes","",""
"","French Studies. A program that focuses on the history, society, politics, culture, and economics of France, other Francophone countries inside and outside Europe, and the French colonial experience and the associated French minorities around the world.","",="05.0124","No substantive changes","",""
"","Funeral Direction/Service. A program that prepares individuals for professional licensure as funeral directors and as managers of funeral homes, cemeteries, and related services.  Includes instruction in the sociology of death and dying, psychology of grief and grief counseling, history of funeral service, funeral direction, business law, funeral service law, funeral home management, accounting and related computer operations, and funeral services marketing and merchandising.","",="12.0302","No substantive changes","",""
"","Funeral Service and Mortuary Science, General. A program that generally prepares individuals for careers in the funeral service industry and for licensure as funeral service directors or morticians.  Includes instruction in the basic elements of mortuary science and the business, counseling, and operational aspects of funeral service.","",="12.0301","No substantive changes","",""
"","Funeral Service and Mortuary Science, Other. Any instructional program in funeral service and mortuary science not listed above.","",="12.0399","No substantive changes","",""
"","Funeral Service and Mortuary Science. Instructional content for this group of programs is defined in codes 12.0301 - 12.0399.","",="12.03","No substantive changes","",""
"","Furniture Design and Manufacturing. A program that prepares individuals to apply technical knowledge and skills to prepare and execute furniture design projects, assemble and finish furniture articles or subassemblies, repair furniture, and use a variety of hand and power tools.","",="48.0702","No substantive changes","",""
"","Game and Interactive Media Design. A program that focuses on the design, development, and programming of interactive media entertainment, including computer and video games, virtual environments,  Internet applications, and other interactive media. Includes instruction in theory of games, turn-based games, real-time games, visual and interactive design, story development, animation, simulation, and programming.","",="50.0411","New","",""
"","Gastroenterology. A residency training program that prepares physicians in the diagnosis and treatment of patients with digestive and other gastrointestinal disorders.  Includes instruction in surgical procedures, cancer of the digestive system, nutrition and malnutrition and counseling the behavioral adjustment of patients with chronic problems.  Requires prior completion of a program in internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0220","Moved from","",""
"","Gastroenterology. A residency training program that prepares physicians in the diagnosis and treatment of patients with digestive and other gastrointestinal disorders.  Includes instruction in surgical procedures, cancer of the digestive system, nutrition and malnutrition, and counseling the behavioral adjustment of patients with chronic problems.  Requires prior completion of a program in internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0519","Moved to","",""
"","Gay/Lesbian Studies. A program that focuses on homosexuality in history, society, politics, and cultural life; usually with an emphasis on the modern emergence of gays and lesbians as a sociocultural minority movement, the identification of social, literary, and artistic themes and the definition of, and public policy and legal issues surrounding, the gay and lesbian community.","",="05.0208","No substantive changes","",""
"","Gene/Genetic Therapy. A program that focuses on the application of genetics to the therapeutic treatment of diseases and inherited abnormalities through the targeted modification of gene expression, and prepares individuals to administer genetic therapies.  Includes instruction in medical genetics, genome analysis, pharmacology of gene transfer, viral vectors, nonviral therapeutic techniques, genetic screening, targeted gene delivery, vector production, safety and quality assurance, clinical trials management, and bioethics.","",="51.0914","No substantive changes","",""
"","General Literature. A program that focuses on literature from one or more genres, cultures or traditions. Includes instruction in period and genre studies, author studies, literary criticism, and studies of various types of literary text.","",="23.1401","New","",""
"","General Merchandising, Sales, and Related Marketing Operations, Other. Any instructional program in merchandising, sales, and related marketing operations not listed above.","",="52.1899","No substantive changes","",""
"","General Office Occupations and Clerical Services. A program that prepares individuals to provide basic administrative support under the supervision of office managers, administrative assistants, secretaries, and other office personnel.  Includes instruction in typing, keyboarding, filing, general business correspondence, office equipment operation, and communications skills.","",="52.0408","No substantive changes","",""
"","General Sales, Merchandising and Related Marketing Operations. Instructional content for this group of programs is defined in codes 52.1801 - 52.1899.","",="52.18","No substantive changes","",""
"","General Studies. An undifferentiated program that includes instruction in the general arts, general science, or unstructured studies.","",="24.0102","No substantive changes","",""
"","General Surgery. A residency training program that prepares physicians in the care and treatment of diseases and disorders via invasive procedures and the etiology, pathogenesis, diagnosis and management of physical disorders.  Includes instruction in clinical and operative skills, pre-operative and post-operative care, trauma management and endoscopic techniques. This CIP code is not valid for IPEDS reporting.","",="60.0221","Moved from","",""
"","General Surgery. A residency training program that prepares physicians in the care and treatment of diseases and disorders via invasive procedures and the etiology, pathogenesis, diagnosis and management of physical disorders.  Includes instruction in clinical and operative skills, pre-operative and post-operative care, trauma management and endoscopic techniques. This CIP code is not valid for IPEDS reporting.","",="60.0414","Moved to","",""
"","Genetic Counseling/Counselor. A program that prepares individuals to counsel patients and families concerning inherited genetic disorders and diseases; assess risk factors and planning options associated with potential and actual inherited conditions; and serve as patient advocates and provide referral services in relation to private and public support services.  Includes instruction in clinical/medical genetics, methods of genetic testing, interviewing and counseling skills, genetic and support services delivery, principles of public health, medical ethics, law and regulations, patient advocacy, and professional standards.","",="51.1509","No substantive changes","",""
"","Genetics, General. A general program that focuses on the scientific study of the organization, recombination, function, regulation, and transmission of heritable information in biological organisms at all levels of complexity.  Includes instruction in Mendelian genetics, mechanisms of gene regulation, chromosome structure and replication, epigenetic phenomena, DNA repair and recombination, sex determination, genetic interactions between genomes, and molecular evolution.","",="26.0801","No substantive changes","",""
"","Genetics, Other. Any instructional program in genetics not listed above.","",="26.0899","No substantive changes","",""
"","Genetics. Instructional content for this group of programs is defined in codes 26.0801 - 26.0899.","",="26.08","No substantive changes","",""
"","Genome Sciences/Genomics. A program that focuses on the scientific study of whole genome sequences and patterns of gene expression. Includes instruction in molecular and cellular biology, genetics, protein technologies, genomic sciences and techniques, bioinformatics, and scientific and research ethics.","",="26.0807","New","",""
"","Geochemistry and Petrology. A program that focuses on the scientific study of the igneous, metamorphic, and hydrothermal processes within the earth and the mineral, fluid, rock, and ore deposits resulting from them.  Includes instruction in mineralogy, crystallography, petrology, volcanology, economic geology, meteoritics, geochemical reactions, deposition, compound transformation, core studies, theoretical geochemistry, computer applications, and laboratory studies.","",="40.0606","No substantive changes","",""
"","Geochemistry. A program that focuses on the scientific study of the chemical properties and behavior of the silicates and other substances forming, and formed by geomorphological processes of the earth and other planets.  Includes instruction in chemical thermodynamics, equilibrium in silicate systems, atomic bonding, isotopic fractionation, geochemical modeling, specimen analysis, and studies of specific organic and inorganic substances.","",="40.0602","No substantive changes","",""
"","Geography and Cartography. Instructional content for this group of programs is defined in codes 45.0701 - 45.0799.","",="45.07","No substantive changes","",""
"","Geography Teacher Education. A program that prepares individuals to teach geography at various grade levels.","",="13.1332","No substantive changes","",""
"","Geography, Other. Any instructional program in geography not listed above.","",="45.0799","No substantive changes","",""
"","Geography. A program that focuses on the systematic study of the spatial distribution and interrelationships of people, natural resources, plant and animal life.  Includes instruction in historical and political geography, cultural geography, economic and physical geography, regional science, cartographic methods, remote sensing, spatial analysis, and applications to areas such as land-use planning, development studies, and analyses of specific countries, regions, and resources.","",="45.0701","No substantive changes","",""
"","Geological and Earth Sciences/Geosciences, Other. Any instructional program in geological and related sciences not listed above.","",="40.0699","No substantive changes","",""
"","Geological and Earth Sciences/Geosciences. Instructional content for this group of programs is defined in codes 40.0601 - 40.0699.","",="40.06","No substantive changes","",""
"","Geological/Geophysical Engineering. Instructional content is defined in code 14.3901.","",="14.39","No substantive changes","",""
"","Geological/Geophysical Engineering. A program that prepares individuals to apply mathematical and geological principles to the analysis and evaluation of engineering problems, including the geological evaluation of construction sites, the analysis of geological forces acting on structures and systems, the analysis of potential natural resource recovery sites, and applied research on geological phenomena.","",="14.3901","No substantive changes","",""
"","Geology/Earth Science, General. A program that focuses on the scientific study of the earth; the forces acting upon it; and the behavior of the solids, liquids and gases comprising it.  Includes instruction in historical geology, geomorphology, and sedimentology, the chemistry of rocks and soils, stratigraphy, mineralogy, petrology, geostatistics, volcanology, glaciology, geophysical principles, and applications to research and industrial problems.","",="40.0601","No substantive changes","",""
"","Geometry/Geometric Analysis. A program that focuses on the properties, measurements, and relationships pertaining to points, lines, angles, surfaces, and solids.  Includes instruction in global analysis, differential geometry, Euclidian and Non-Euclidian geometry, set theory, manifolds, integral geometry, and applications to algebra and other topics.","",="27.0104","No substantive changes","",""
"","Geophysics and Seismology. A program that focuses on the scientific study of the physics of solids and its application to the study of the earth and other planets.  Includes instruction in gravimetric, seismology, earthquake forecasting, magnetrometry, electrical properties of solid bodies, plate tectonics, active deformation, thermodynamics, remote sensing, geodesy, and laboratory simulations of geological processes.","",="40.0603","No substantive changes","",""
"","Geotechnical Engineering. A program that prepares individuals to apply geotechnical engineering methods, which deal with the analysis, design and construction of earth and earth supported structures,  to the application of environmental problems, such as waste containment, waste disposal, construction of land fills, soil permeation, soil analysis, and soil improvement. Includes instruction in soil mechanics, soil dynamics, soil behavior, waste management and containment systems, geosynthetics, geochemistry, earth structures, geoenvironmental engineering, geotechnical engineering, earthquake engineering, and foundation engineering","",="14.0802","No substantive changes","",""
"","Geriatric Medicine (Internal Medicine). A residency training program that prepares individuals to manage the health care of elderly patients with a variety of medical problems on an in-patient and out-patient basis.Includes instruction in the physiology of aging; geriatric pathophysiology; atypical presentation of illness; functional assessment; cognitive and affective assessment; and concepts of patient treatment and management in different settings.     (See also 60.0222) This CIP code is not valid for IPEDS reporting.","",="60.0268","Deleted","",""
"","Geriatric Medicine. A residency training program that prepares physicians in the care and management of elderly patients in acute, ambulatory, community and long-term care settings, and the treatment of diseases and conditions associated with the aging process.  Includes instruction in ethical and legal issues, behavioral aspects of illness, socioeconomic factors in care and rehabilitation therapies.  Requires prior completion of a program in family medicine or internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0520","Moved to","",""
"","Geriatric Medicine. A residency training program that prepares physicians in the care and management of elderly patients in acute, ambulatory, community and long-term care settings, and the treatment of diseases and conditions associated with the aging process.  Includes instruction in ethical and legal issues, behavioral aspects of illness, socioeconomic factors in care and rehabilitation therapies.  Requires prior completion of a program in family medicine or internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0222","Moved from","",""
"","Geriatric Nurse/Nursing. A program that prepares registered nurses to provide health care to aging and elderly patients. Includes instruction in geriatric primary care, geriatric diagnosis, mental health and aging, primary care management, geriatric acute and chronic illness, advanced nursing practices for geriatric patients, evidence-based nursing practice, advanced physiology, pathophysiology, pharmacology, and pharmacotherapeutics.","",="51.3821","New","",""
"","Geriatric Psychiatry Residency Program. A residency training program that prepares physicians in the prevention, evaluation, diagnosis, and treatment of mental and emotional disorders in the elderly, and to improve the psychiatric care of the elderly both in health and in disease. Requires prior completion of a program in psychiatry. This CIP code is not valid for IPEDS reporting.","",="60.0521","New","",""
"","German Language and Literature. A program that focuses on the German language and related dialects. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.","",="16.0501","No substantive changes","",""
"","German Language Teacher Education. A program that prepares individuals to teach German language programs at various educational levels.","",="13.1326","No substantive changes","",""
"","German Studies. A program that focuses on the history, society, politics, culture, and economics of Germany, the neighboring countries of Austria and Switzerland, the German minorities in neighboring European countries, and the historical areas of German influence across Europe and overseas.","",="05.0125","No substantive changes","",""
"","Germanic Languages, Literatures, and Linguistics, General. A general program that focuses on one or more of the Germanic languages of Western, Central, and Northern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other settings.","",="16.0500","No substantive changes","",""
"","Germanic Languages, Literatures, and Linguistics, Other. Any instructional program in Germanic languages, literatures, and linguistics not listed above.","",="16.0599","No substantive changes","",""
"","Germanic Languages, Literatures, and Linguistics. Instructional content for this group of programs is defined in codes 16.0500 - 16.0599.","",="16.05","No substantive changes","",""
"","Gerontology. Instructional content is defined in code 30.1101.","",="30.11","No substantive changes","",""
"","Gerontology. A program that focuses on the human aging process and aged human populations, using the knowledge and methodologies of the social sciences, psychology and the biological and health sciences.","",="30.1101","No substantive changes","",""
"","Geropsychology. A program that focuses on the psychology of aging and of elderly individuals and populations, with reference to growth and decline across the life span.  Includes instruction in gerontology, developmental and adult psychology, age-related development and decline of cognitive processes, age-related psychological and neurological disorders, social and personality development in aging populations and individuals, and applications to the clinical treatment and care of older adults.","",="42.2201","Moved from","",""
"","Geropsychology.","",="42.22","Deleted","",""
"","Geropsychology. A program that focuses on the psychology of aging and of elderly individuals and populations, with reference to growth and decline across the life span.  Includes instruction in gerontology, developmental and adult psychology, age-related development and decline of cognitive processes, age-related psychological and neurological disorders, social and personality development in aging populations and individuals, and applications to the clinical treatment and care of older adults.","",="42.2809","Moved to","",""
"","Glazier. A program that prepares individuals to apply technical knowledge and skills to install and repair fixtures, sheets, windows, and skylights made of glass, plexiglass, and other transparent materials.  Includes instruction in site measurement, job analysis and estimation, material cutting and trimming, window and door installation, site safety, equipment operation and maintenance, specification interpretation, and applicable codes and standards.","",="46.0406","No substantive changes","",""
"","Golf Course Operation and Grounds Management. A program that prepares individuals to manage the operation of golf courses. Includes instruction in turf grass science and management, golf course design and construction, grounds equipment and operation, pest control, and grounds management.","",="31.0302","New","",""
"","Graphic and Printing Equipment Operator, General Production. A program that generally prepares individuals to apply technical knowledge and skills to plan, prepare, and execute a variety of commercial and industrial graphic communications jobs.  Includes instruction in the operation and maintenance of mechanical, electronic, and digital graphic, printing, and finishing equipment; and related processes.","",="10.0305","No substantive changes","",""
"","Graphic Communications, General. A program that generally prepares individuals to apply technical knowledge and skills in the manufacture and distribution or transmission of graphic communications products.  Includes instruction in the prepress, press, and postpress phases of production operations and processes such as offset lithography, flexography, gravure, letterpress, screen printing, foil stamping, digital imaging, and other reproduction methods.","",="10.0301","No substantive changes","",""
"","Graphic Communications, Other. Any instructional program in graphic communications not listed above.","",="10.0399","No substantive changes","",""
"","Graphic Communications. Instructional content for this group of programs is defined in codes 10.0301 - 10.0399.","",="10.03","No substantive changes","",""
"","Graphic Design. A program that prepares individuals to apply artistic and computer techniques to the interpretation of technical and commercial concepts. Includes instruction in computer-assisted art and design, printmaking, concepts sketching, technical drawing, color theory, imaging, studio technique, still and life modeling, multimedia applications, communication skills and commercial art business operations.","",="50.0409","No substantive changes","",""
"","Greenhouse Operations and Management. A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision.","",="01.0604","No substantive changes","",""
"","Ground Transportation, Other. Any instructional program in vehicle and equipment operation not listed above.","",="49.0299","No substantive changes","",""
"","Ground Transportation. Instructional content for this group of programs is defined in codes 49.0202 - 49.0299.","",="49.02","No substantive changes","",""
"","Gunsmithing/Gunsmith. A program that prepares individuals to apply technical knowledge and skills to make, repair, maintain, and modify firearms according to blueprints or customer specifications, using specialized hand tools and machines.","",="47.0402","No substantive changes","",""
"","Gynecologic Oncology Residency Program. A residency training program that prepares physicians for consultation and comprehensive management of patients with gynecologic cancer, including those diagnostic and therapeutic procedures necessary for the total care of the patient with gynecologic cancer and resulting complications. Requires prior completion of a program in obstetrics and gynecology. This CIP code is not valid for IPEDS reporting.","",="60.0522","New","",""
"","Hair Styling/Stylist and Hair Design. A program that prepares individuals to shampoo, cut, style, set, and dress the scalp hair of women and/or men, braid hair, apply hair cosmetics and wigs, and prepare for licensure as professional cosmetologists, hairdressers, and barbers at various levels.  Includes instruction in hair design theory and concepts, hair cleaning and shampooing, hair coloring, chemical applications and permanent reconstructions, hair anatomy and physiology, scalp diseases and treatments, wig and hairpiece fitting, hair braiding, customer service, shop management, equipment operation, health and safety, and applicable laws and regulations.","",="12.0407","No substantive changes","",""
"","Hand Surgery. A residency training program that prepares physicians in the investigation, preservation and restoration by medical, surgical or physical methods of all structures of the upper extremity which directly affect the form and function of the limb, wrist and hand.  Requires prior completion of a program in orthopedic surgery, plastic surgery or general surgery. This CIP code is not valid for IPEDS reporting.","",="60.0578","Moved to","",""
"","Hand Surgery. A residency training program that prepares physicians in the investigation, preservation and restoration by medical, surgical or physical methods of all structures of the upper extremity which directly affect the form and function of the limb, wrist and hand.  Requires prior completion of a program in orthopedic surgery, plastic surgery or general surgery. This CIP code is not valid for IPEDS reporting.","",="60.0223","Moved from","",""
"","Handicrafts and Model-Making. A program that focuses on the fashioning of objects of decoration, utility or representation from various materials, including related matters of research, tool use and appreciation. This CIP code is not valid for IPEDS reporting.","",="36.0102","No substantive changes","",""
"","Hazardous Materials Information Systems Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills to assist engineers and other professionals in implementing, monitoring, and enforcing hazardous materials management and removal.  Includes instruction in environmental science, environmental health, human behavior, economics, management science, information systems and applications, and communication skills.","",="15.0704","No substantive changes","",""
"","Hazardous Materials Management and Waste Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in identifying and disposing of hazardous materials.  Includes instruction in environmental safety principles, biohazard identification, testing and sampling procedures, laboratory techniques, instrumentation calibration, hazardous waste disposal procedures and systems, safety and protection procedures, equipment maintenance, and report preparation.","",="15.0508","No substantive changes","",""
"","Health Aide. A program that prepares individuals to provide routine care and assistance to patients under the direct supervision of other health care professionals, and/or to perform routine maintenance and general assistance in health care facilities and laboratories.","",="51.2601","No substantive changes","",""
"","Health Aides/Attendants/Orderlies, Other. Any other instructional program that prepares individuals to provide routine patient care and assistance.","",="51.2699","No substantive changes","",""
"","Health Aides/Attendants/Orderlies. Instructional content for this group of programs is defined in codes 51.2601 - 51.2699.","",="51.26","No substantive changes","",""
"","Health and Medical Administrative Services, Other. Any instructional program in health and medical administrative services not listed above.","",="51.0799","No substantive changes","",""
"","Health and Medical Administrative Services. Instructional content for this group of programs is defined in codes 51.0701 - 51.0799.","",="51.07","No substantive changes","",""
"","Health and Physical Education, General. A general program that focuses on activities and principles that promote physical fitness, achieve and maintain athletic prowess, and accomplish related research and service goals.  Includes instruction in human movement studies, motivation studies, rules and practice of specific sports, exercise and fitness principles and techniques, basic athletic injury prevention and treatment, and organizing and leading fitness and sports programs.","",="31.0501","No substantive changes","",""
"","Health and Physical Education/Fitness, Other. Any instructional program in health and physical education/fitness not listed above.","",="31.0599","No substantive changes","",""
"","Health and Physical Education/Fitness. Instructional content for this group of programs is defined in codes 31.0501 - 31.0599.","",="31.05","No substantive changes","",""
"","Health and Wellness, General. A program of study that prepares individuals to assume roles as health/wellness professionals in private business and industry, community organizations, and health care settings. Includes instruction in personal health, community health and welfare, nutrition, epidemiology, disease prevention, fitness and exercise, and health behaviors.","",="51.0001","New","",""
"","Health Communication. A program that focuses on how people, individually and collectively, understand and accommodate to health and illness and the role of communication and media in shaping professional health care messages and public acceptance of these messages.  Includes instruction in the development and use of health-related and care-related messages and media; the goals and strategies of health care promotion; relationships, roles, situations, and social structures in the context of health maintenance and promotion; and applications to disease prevention, health advocacy, and communications concerning treatments.","",="09.0905","No substantive changes","",""
"","Health Information/Medical Records Administration/Administrator. A program that prepares individuals to plan, design, and manage systems, processes, and facilities used to collect, store, secure, retrieve, analyze, and transmit medical records and other health information used by clinical professionals and health care organizations.  Includes instruction in the principles and basic content of the biomedical and clinical sciences, information technology and applications, data and database management, clinical research methodologies, health information resources and systems, office management, legal requirements, and professional standards.","",="51.0706","No substantive changes","",""
